0.291948,0.184073,0.157408
0.661661,0.499259,0.482368
0.273121,0.433726,0.634152
0.251626,0.352105,0.207160
0.462509,0.478958,0.729692
0.396087,0.761634,0.767111
0.691274,0.321236,0.079064
0.123828,0.260357,0.637192
0.684592,0.230941,0.326455
0.232752,0.134800,0.388317
0.586557,0.708399,0.272932
0.808723,0.593084,0.136935
0.019660,0.121460,0.457273
0.164790,0.481029,0.235498
0.573169,0.113188,0.125758
0.801347,0.714930,0.145048
0.671733,0.266983,0.614609
0.080324,0.553144,0.757318
0.685218,0.708559,0.732253
0.615560,0.649470,0.692865
0.513957,0.545815,0.595839
0.366409,0.390490,0.452091
0.193736,0.229736,0.270579
0.077081,0.089098,0.108133
