0.069315,0.028358,0.021350
0.395318,0.213356,0.198082
0.060628,0.157743,0.359873
0.051530,0.101740,0.035380
0.180966,0.195079,0.491442
0.130143,0.540829,0.549576
0.435662,0.084197,0.007075
0.014127,0.055121,0.363695
0.426359,0.043577,0.087028
0.044242,0.016297,0.124827
0.303081,0.460043,0.060545
0.618718,0.310534,0.016740
0.001522,0.013682,0.176602
0.023175,0.196900,0.045263
0.288122,0.012193,0.014495
0.606113,0.469545,0.018489
0.408784,0.057942,0.335865
0.007236,0.266569,0.533994
0.427226,0.460273,0.495301
0.337011,0.379371,0.437895
0.227188,0.258924,0.313711
0.110531,0.126301,0.172346
0.031187,0.043138,0.059507
0.006827,0.008413,0.011332
